CO_GRUPO;IdPersona;FE_ALTA;Monto;Fe_castigo;Monto_castigado
3722;4906467;19/11/2021;2087.00;;
3781;4945077;15/12/2021;687.00;;
0NTD;4963955;26/11/2021;1587.00;;
19KR;4984787;20/12/2021;987.00;;
2054;4994638;17/12/2021;1287.00;;
2054;4994638;16/01/2021;1958.00;;
0218;4999538;03/02/2021;2058.00;;
3860;5004353;05/08/2021;887.00;;
0248;5013594;13/08/2021;1287.00;;
18IN;5013842;04/01/2021;1558.00;;
0VI4;5017215;23/01/2021;758.00;;
3437;5023643;14/01/2021;2058.00;;
3437;5024146;14/11/2021;1787.00;;
3437;5024146;05/01/2021;3058.00;;
3855;5027784;27/07/2021;1787.00;;
2305;5034186;17/03/2021;658.00;;
2305;5034186;01/03/2021;1058.00;;
3902;5045430;06/12/2021;2887.00;;
3776;5056551;17/02/2021;558.00;;
1BVJ;5062047;10/07/2021;2587.00;;
0NQP;5069752;01/12/2021;1587.00;;
0254;5078332;02/12/2021;3887.00;;
2167;5118948;14/02/2021;1058.00;;
3972;5130687;23/08/2021;987.00;;
3638;5194840;29/01/2021;1658.00;;
3709;5195086;26/01/2021;658.00;;
0616;5216130;02/11/2021;887.00;;
0021;5224803;18/10/2021;1587.00;;
0021;5224803;15/01/2021;858.00;;
2305;5228606;19/07/2021;1087.00;;
0430;5234984;12/12/2021;1387.00;;
0430;5234984;08/01/2021;558.00;;
0419;5241195;23/01/2021;1358.00;;
0289;5246822;28/11/2021;1087.00;;
0ZUP;5248331;24/12/2021;1787.00;;
17DY;5251327;11/01/2021;2058.00;;
3429;5252036;29/01/2021;1258.00;;
3429;5252036;16/01/2021;1258.00;;
0021;5283817;09/03/2021;1058.00;;
0083;5330469;26/01/2021;658.00;;
0419;5330519;01/07/2021;1887.00;;
0419;5330782;09/04/2021;958.00;;
0965;5352216;18/10/2021;787.00;;
3855;5368204;02/12/2021;1787.00;;
0419;5402482;26/02/2021;2458.00;;
0419;5402508;15/12/2021;5587.00;;
2305;5424890;19/12/2021;1787.00;;
2305;5431549;14/01/2021;1158.00;;
0NO4;5447081;03/02/2021;558.00;;
1IT4;5460811;18/12/2021;1787.00;;
2305;5461785;11/02/2021;1658.00;;
8300;5518055;06/02/2021;858.00;;
4505;5540620;21/12/2021;787.00;;
4505;5542501;29/09/2021;587.00;;
4505;5543129;13/09/2021;1487.00;;
4505;5543376;21/08/2021;887.00;;
4505;5543632;12/07/2021;1087.00;;
4505;5543889;29/05/2021;1087.00;;
4505;5543988;20/06/2021;1087.00;;
4505;5544093;06/09/2021;1687.00;;
4505;5544895;28/11/2021;1087.00;;
4505;5544903;28/11/2021;1387.00;;
4505;5568639;26/07/2021;1187.00;;
2305;5572227;21/11/2021;5387.00;;
